title,x,y,z,section,url
Sunstone Island - Upper Sunstone,-1045.0,135.0,-1140.0,Upper Sunstone,
Sunstone Island - Sunstone Cave,-1215.0,190.0,-1040.0,Sunstone Cave,
Sunstone Island - Items For Sale,-1145.0,135.0,-1075.0,Items For Sale,
Sunstone Island - Items For Sale,-1045.0,200.0,-1100.0,Items For Sale,
Sunstone Island - Items For Sale,-920.0,130.0,-1105.0,Items For Sale,
Sunstone Island - Items For Sale,-1145.0,135.0,-1075.0,Items For Sale,
Sunstone Island - Items For Sale,-1045.0,200.0,-1100.0,Items For Sale,
Sunstone Island - Items For Sale,-920.0,130.0,-1105.0,Items For Sale,
Overgrowth Caves - Northern Expedition,400.0,135.0,265.0,Northern Expedition,
Overgrowth Caves - Northern Expedition,5506.0,147.0,-315.0,Northern Expedition,
Overgrowth Caves - Northern Expedition,2930.0,281.0,2594.0,Northern Expedition,
Overgrowth Caves - Northern Expedition,-1715.0,149.0,737.0,Northern Expedition,
Overgrowth Caves - Northern Expedition,-2566.0,181.0,1353.0,Northern Expedition,
Overgrowth Caves - Northern Expedition,2.0,750.0,0.0,Northern Expedition,
Overgrowth Caves - Northern Expedition,1.0,500.0,0.0,Northern Expedition,
Overgrowth Caves - Sublocations,400.0,135.0,265.0,Sublocations,
Overgrowth Caves - Sublocations,5506.0,147.0,-315.0,Sublocations,
Overgrowth Caves - Sublocations,2930.0,281.0,2594.0,Sublocations,
Overgrowth Caves - Sublocations,-1715.0,149.0,737.0,Sublocations,
Overgrowth Caves - Sublocations,-2566.0,181.0,1353.0,Sublocations,
Overgrowth Caves - Glacial Grotto,400.0,135.0,265.0,Glacial Grotto,
Overgrowth Caves - Glacial Grotto,5506.0,147.0,-315.0,Glacial Grotto,
Overgrowth Caves - Glacial Grotto,2930.0,281.0,2594.0,Glacial Grotto,
Overgrowth Caves - Glacial Grotto,-1715.0,149.0,737.0,Glacial Grotto,
Overgrowth Caves - Glacial Grotto,-2566.0,181.0,1353.0,Glacial Grotto,
Overgrowth Caves - Crystal Puzzle,400.0,135.0,265.0,Crystal Puzzle,
Overgrowth Caves - Crystal Puzzle,5506.0,147.0,-315.0,Crystal Puzzle,
Overgrowth Caves - Crystal Puzzle,2930.0,281.0,2594.0,Crystal Puzzle,
Overgrowth Caves - Crystal Puzzle,-1715.0,149.0,737.0,Crystal Puzzle,
Overgrowth Caves - Crystal Puzzle,-2566.0,181.0,1353.0,Crystal Puzzle,
Overgrowth Caves - Items for Sale,2.0,750.0,0.0,Items for Sale,
Overgrowth Caves - Items for Sale,1.0,500.0,0.0,Items for Sale,
Overgrowth Caves - Button Locations,400.0,135.0,265.0,Button Locations,
Overgrowth Caves - Button Locations,5506.0,147.0,-315.0,Button Locations,
Overgrowth Caves - Button Locations,2930.0,281.0,2594.0,Button Locations,
Overgrowth Caves - Button Locations,-1715.0,149.0,737.0,Button Locations,
Overgrowth Caves - Button Locations,-2566.0,181.0,1353.0,Button Locations,
Overgrowth Caves - Northern Expedition Items,2.0,750.0,0.0,Northern Expedition Items,
Overgrowth Caves - Northern Expedition Items,1.0,500.0,0.0,Northern Expedition Items,
Frigid Cavern - Northern Expedition,400.0,135.0,265.0,Northern Expedition,
Frigid Cavern - Northern Expedition,5506.0,147.0,-315.0,Northern Expedition,
Frigid Cavern - Northern Expedition,2930.0,281.0,2594.0,Northern Expedition,
Frigid Cavern - Northern Expedition,-1715.0,149.0,737.0,Northern Expedition,
Frigid Cavern - Northern Expedition,-2566.0,181.0,1353.0,Northern Expedition,
Frigid Cavern - Northern Expedition,2.0,750.0,0.0,Northern Expedition,
Frigid Cavern - Northern Expedition,1.0,500.0,0.0,Northern Expedition,
Frigid Cavern - Sublocations,400.0,135.0,265.0,Sublocations,
Frigid Cavern - Sublocations,5506.0,147.0,-315.0,Sublocations,
Frigid Cavern - Sublocations,2930.0,281.0,2594.0,Sublocations,
Frigid Cavern - Sublocations,-1715.0,149.0,737.0,Sublocations,
Frigid Cavern - Sublocations,-2566.0,181.0,1353.0,Sublocations,
Frigid Cavern - Glacial Grotto,400.0,135.0,265.0,Glacial Grotto,
Frigid Cavern - Glacial Grotto,5506.0,147.0,-315.0,Glacial Grotto,
Frigid Cavern - Glacial Grotto,2930.0,281.0,2594.0,Glacial Grotto,
Frigid Cavern - Glacial Grotto,-1715.0,149.0,737.0,Glacial Grotto,
Frigid Cavern - Glacial Grotto,-2566.0,181.0,1353.0,Glacial Grotto,
Frigid Cavern - Crystal Puzzle,400.0,135.0,265.0,Crystal Puzzle,
Frigid Cavern - Crystal Puzzle,5506.0,147.0,-315.0,Crystal Puzzle,
Frigid Cavern - Crystal Puzzle,2930.0,281.0,2594.0,Crystal Puzzle,
Frigid Cavern - Crystal Puzzle,-1715.0,149.0,737.0,Crystal Puzzle,
Frigid Cavern - Crystal Puzzle,-2566.0,181.0,1353.0,Crystal Puzzle,
Frigid Cavern - Items for Sale,2.0,750.0,0.0,Items for Sale,
Frigid Cavern - Items for Sale,1.0,500.0,0.0,Items for Sale,
Frigid Cavern - Button Locations,400.0,135.0,265.0,Button Locations,
Frigid Cavern - Button Locations,5506.0,147.0,-315.0,Button Locations,
Frigid Cavern - Button Locations,2930.0,281.0,2594.0,Button Locations,
Frigid Cavern - Button Locations,-1715.0,149.0,737.0,Button Locations,
Frigid Cavern - Button Locations,-2566.0,181.0,1353.0,Button Locations,
Frigid Cavern - Northern Expedition Items,2.0,750.0,0.0,Northern Expedition Items,
Frigid Cavern - Northern Expedition Items,1.0,500.0,0.0,Northern Expedition Items,
Snowcap Island - Snowcap Island,2600.0,150.0,2400.0,Snowcap Island,
Snowcap Island - Snowcap Island,2900.0,150.0,2500.0,Snowcap Island,
Snowcap Island - Snowcap Island,2710.0,190.0,2560.0,Snowcap Island,
Snowcap Island - Snowcap Island,2750.0,135.0,2505.0,Snowcap Island,
Snowcap Island - Snowcap Island,2800.0,280.0,2565.0,Snowcap Island,
Snowcap Island - Snowcap Island,2845.0,180.0,2700.0,Snowcap Island,
Snowcap Island - Sublocations,2900.0,150.0,2500.0,Sublocations,
Snowcap Island - Sublocations,2710.0,190.0,2560.0,Sublocations,
Snowcap Island - Sublocations,2750.0,135.0,2505.0,Sublocations,
Snowcap Island - Snowcap Cave,2900.0,150.0,2500.0,Snowcap Cave,
Snowcap Island - Blue Moon Pool,2710.0,190.0,2560.0,Blue Moon Pool,
Snowcap Island - Blue Moon Pool,2750.0,135.0,2505.0,Blue Moon Pool,
Snowcap Island - Items For Sale,2845.0,180.0,2700.0,Items For Sale,
Snowcap Island - Fishing Locations,2800.0,280.0,2565.0,Fishing Locations,
Snowcap Island - Freshwater Pond,2800.0,280.0,2565.0,Freshwater Pond,
Snowcap Island - Items For Sale,2845.0,180.0,2700.0,Items For Sale,
Deep Ocean - Ocean,-1270.0,125.0,1580.0,Ocean,
Deep Ocean - Ocean,1000.0,125.0,-1250.0,Ocean,
Deep Ocean - Ocean,-530.0,125.0,-425.0,Ocean,
Deep Ocean - Ocean,1230.0,125.0,575.0,Ocean,
Deep Ocean - Ocean,1700.0,125.0,-2500.0,Ocean,
Deep Ocean - Sublocations,-1270.0,125.0,1580.0,Sublocations,
Deep Ocean - Sublocations,1000.0,125.0,-1250.0,Sublocations,
Deep Ocean - Sublocations,-530.0,125.0,-425.0,Sublocations,
Deep Ocean - Sublocations,1230.0,125.0,575.0,Sublocations,
Deep Ocean - Sublocations,1700.0,125.0,-2500.0,Sublocations,
Deep Ocean - Harvesters Spike,-1270.0,125.0,1580.0,Harvesters Spike,
Deep Ocean - The Arch,1000.0,125.0,-1250.0,The Arch,
Deep Ocean - Haddock Rock,-530.0,125.0,-425.0,Haddock Rock,
Deep Ocean - Earmark Island,1230.0,125.0,575.0,Earmark Island,
Deep Ocean - Birch Cay,1700.0,125.0,-2500.0,Birch Cay,
Haddock - Haddock,-490.0,135.0,-420.0,Haddock,
Azureback Haddock School - Azureback Haddock School,832.0,78.0,2558.0,Azureback Haddock School,
Haddock Rock - Ocean,-1270.0,125.0,1580.0,Ocean,
Haddock Rock - Ocean,1000.0,125.0,-1250.0,Ocean,
Haddock Rock - Ocean,-530.0,125.0,-425.0,Ocean,
Haddock Rock - Ocean,1230.0,125.0,575.0,Ocean,
Haddock Rock - Ocean,1700.0,125.0,-2500.0,Ocean,
Haddock Rock - Sublocations,-1270.0,125.0,1580.0,Sublocations,
Haddock Rock - Sublocations,1000.0,125.0,-1250.0,Sublocations,
Haddock Rock - Sublocations,-530.0,125.0,-425.0,Sublocations,
Haddock Rock - Sublocations,1230.0,125.0,575.0,Sublocations,
Haddock Rock - Sublocations,1700.0,125.0,-2500.0,Sublocations,
Haddock Rock - Harvesters Spike,-1270.0,125.0,1580.0,Harvesters Spike,
Haddock Rock - The Arch,1000.0,125.0,-1250.0,The Arch,
Haddock Rock - Haddock Rock,-530.0,125.0,-425.0,Haddock Rock,
Haddock Rock - Earmark Island,1230.0,125.0,575.0,Earmark Island,
Haddock Rock - Birch Cay,1700.0,125.0,-2500.0,Birch Cay,
Earmark Island - Ocean,-1270.0,125.0,1580.0,Ocean,
Earmark Island - Ocean,1000.0,125.0,-1250.0,Ocean,
Earmark Island - Ocean,-530.0,125.0,-425.0,Ocean,
Earmark Island - Ocean,1230.0,125.0,575.0,Ocean,
Earmark Island - Ocean,1700.0,125.0,-2500.0,Ocean,
Earmark Island - Sublocations,-1270.0,125.0,1580.0,Sublocations,
Earmark Island - Sublocations,1000.0,125.0,-1250.0,Sublocations,
Earmark Island - Sublocations,-530.0,125.0,-425.0,Sublocations,
Earmark Island - Sublocations,1230.0,125.0,575.0,Sublocations,
Earmark Island - Sublocations,1700.0,125.0,-2500.0,Sublocations,
Earmark Island - Harvesters Spike,-1270.0,125.0,1580.0,Harvesters Spike,
Earmark Island - The Arch,1000.0,125.0,-1250.0,The Arch,
Earmark Island - Haddock Rock,-530.0,125.0,-425.0,Haddock Rock,
Earmark Island - Earmark Island,1230.0,125.0,575.0,Earmark Island,
Earmark Island - Birch Cay,1700.0,125.0,-2500.0,Birch Cay,
Moosewood - Moosewood,350.0,135.0,250.0,Moosewood,
Moosewood - Moosewood,412.0,135.0,233.0,Moosewood,
Moosewood - Moosewood,385.0,135.0,280.0,Moosewood,
Moosewood - Moosewood,480.0,150.0,295.0,Moosewood,
Moosewood - Moosewood,465.0,150.0,235.0,Moosewood,
Moosewood - Moosewood,480.0,180.0,150.0,Moosewood,
Moosewood - Moosewood,515.0,150.0,285.0,Moosewood,
Moosewood - Moosewood,365.0,135.0,275.0,Moosewood,
Moosewood - Moosewood,370.0,135.0,250.0,Moosewood,
Moosewood - Moosewood,315.0,135.0,335.0,Moosewood,
Moosewood - Moosewood,-1878.0,167.0,548.0,Moosewood,
Moosewood - Items for Sale,465.0,150.0,235.0,Items for Sale,
Moosewood - Items for Sale,480.0,180.0,150.0,Items for Sale,
Moosewood - Items for Sale,515.0,150.0,285.0,Items for Sale,
Moosewood - Items for Sale,365.0,135.0,275.0,Items for Sale,
Moosewood - Items for Sale,370.0,135.0,250.0,Items for Sale,
Moosewood - Items for Sale,315.0,135.0,335.0,Items for Sale,
Moosewood - Message In a Bottle,412.0,135.0,233.0,Message In a Bottle,
Moosewood - Message In a Bottle,-1878.0,167.0,548.0,Message In a Bottle,
Moosewood - Leaderboards,385.0,135.0,280.0,Leaderboards,
Moosewood - Leaderboards,480.0,150.0,295.0,Leaderboards,
Moosewood - For Sale,465.0,150.0,235.0,For Sale,
Moosewood - For Sale,480.0,180.0,150.0,For Sale,
Moosewood - For Sale,515.0,150.0,285.0,For Sale,
Moosewood - For Sale,365.0,135.0,275.0,For Sale,
Moosewood - For Sale,370.0,135.0,250.0,For Sale,
Moosewood - For Sale,315.0,135.0,335.0,For Sale,
Pierre - Pierre,390.0,135.0,200.0,Pierre,
Sea Traveler - Sea Traveler,140.0,150.0,2030.0,Sea Traveler,
Sea Traveler - Sea Traveler,690.0,170.0,345.0,Sea Traveler,
Cthulhu Boss - Terrapin Island,-200.0,130.0,1925.0,Terrapin Island,
Cthulhu Boss - Terrapin Island,10.0,155.0,2000.0,Terrapin Island,
Cthulhu Boss - Terrapin Island,160.0,125.0,1970.0,Terrapin Island,
Cthulhu Boss - Terrapin Island,25.0,140.0,1860.0,Terrapin Island,
Cthulhu Boss - Terrapin Island,140.0,150.0,2050.0,Terrapin Island,
Cthulhu Boss - Terrapin Island,-200.0,130.0,1930.0,Terrapin Island,
Cthulhu Boss - Terrapin Island,-175.0,145.0,1935.0,Terrapin Island,
Cthulhu Boss - Terrapin Island,35.0,130.0,1945.0,Terrapin Island,
Cthulhu Boss - Terrapin Hideaway,10.0,155.0,2000.0,Terrapin Hideaway,
Cthulhu Boss - Olm Cave,160.0,125.0,1970.0,Olm Cave,
Cthulhu Boss - Terrapin Cave,25.0,140.0,1860.0,Terrapin Cave,
Cthulhu Boss - Dreamers Crypt,140.0,150.0,2050.0,Dreamers Crypt,
Cthulhu Boss - Items For Sale,-200.0,130.0,1930.0,Items For Sale,
Cthulhu Boss - Items For Sale,-175.0,145.0,1935.0,Items For Sale,
Cthulhu Boss - Items For Sale,35.0,130.0,1945.0,Items For Sale,
Cthulhu Boss - For Sale,-200.0,130.0,1930.0,For Sale,
Cthulhu Boss - For Sale,-175.0,145.0,1935.0,For Sale,
Cthulhu Boss - For Sale,35.0,130.0,1945.0,For Sale,
Crystal Cove - Crystal Cove,1364.0,-612.0,2472.0,Crystal Cove,
Crystal Cove - Crystal Cove,1350.0,-604.0,2329.0,Crystal Cove,
Crystal Cove - Sublocations,1350.0,-604.0,2329.0,Sublocations,
Crystal Cove - Underground Music Venue,1350.0,-604.0,2329.0,Underground Music Venue,
Castaway Cliffs - Castaway Cliffs,690.0,135.0,-1693.0,Castaway Cliffs,
Castaway Cliffs - Castaway Cliffs,255.0,800.0,-6865.0,Castaway Cliffs,
Castaway Cliffs - Castaway Cliffs,560.0,310.0,-2070.0,Castaway Cliffs,
Castaway Cliffs - Sublocations,255.0,800.0,-6865.0,Sublocations,
Castaway Cliffs - Sublocations,560.0,310.0,-2070.0,Sublocations,
Castaway Cliffs - Ghosts Tavern,255.0,800.0,-6865.0,Ghosts Tavern,
Castaway Cliffs - Ghosts Tavern,560.0,310.0,-2070.0,Ghosts Tavern,
Gilded Arch - Gilded Arch,450.0,90.0,2850.0,Gilded Arch,
Trade Plaza - Trade Plaza,535.0,82.0,775.0,Trade Plaza,
Sunstone Cave - Sunstone Island,-935.0,130.0,-1105.0,Sunstone Island,
Sunstone Cave - Sunstone Island,-1045.0,135.0,-1140.0,Sunstone Island,
Sunstone Cave - Sunstone Island,-1215.0,190.0,-1040.0,Sunstone Island,
Sunstone Cave - Sunstone Island,-1145.0,135.0,-1075.0,Sunstone Island,
Sunstone Cave - Sunstone Island,-1045.0,200.0,-1100.0,Sunstone Island,
Sunstone Cave - Sunstone Island,-920.0,130.0,-1105.0,Sunstone Island,
Sunstone Cave - Sublocations,-1045.0,135.0,-1140.0,Sublocations,
Sunstone Cave - Sublocations,-1215.0,190.0,-1040.0,Sublocations,
Sunstone Cave - Upper Sunstone,-1045.0,135.0,-1140.0,Upper Sunstone,
Sunstone Cave - Sunstone Cave,-1215.0,190.0,-1040.0,Sunstone Cave,
Sunstone Cave - Items For Sale,-1145.0,135.0,-1075.0,Items For Sale,
Sunstone Cave - Items For Sale,-1045.0,200.0,-1100.0,Items For Sale,
Sunstone Cave - Items For Sale,-920.0,130.0,-1105.0,Items For Sale,
Sunstone Cave - Items For Sale,-1145.0,135.0,-1075.0,Items For Sale,
Sunstone Cave - Items For Sale,-1045.0,200.0,-1100.0,Items For Sale,
Sunstone Cave - Items For Sale,-920.0,130.0,-1105.0,Items For Sale,
Whale Interior - Isle of New Beginnings,-300.0,83.0,-380.0,Isle of New Beginnings,
Whale Interior - Isle of New Beginnings,-30.0,-1350.0,-2160.0,Isle of New Beginnings,
Whale Interior - Isle of New Beginnings,-387.0,80.0,-387.0,Isle of New Beginnings,
Whale Interior - Isle of New Beginnings,-50.0,-1350.0,-2170.0,Isle of New Beginnings,
Whale Interior - Isle of New Beginnings,-317.0,85.0,-420.0,Isle of New Beginnings,
Whale Interior - Whale Interior,-30.0,-1350.0,-2160.0,Whale Interior,
Whale Interior - Items For Sale,-387.0,80.0,-387.0,Items For Sale,
Whale Interior - Items For Sale,-50.0,-1350.0,-2170.0,Items For Sale,
Whale Interior - Items For Sale,-317.0,85.0,-420.0,Items For Sale,
Whale Interior - Items For Sale,-387.0,80.0,-387.0,Items For Sale,
Whale Interior - Items For Sale,-50.0,-1350.0,-2170.0,Items For Sale,
Whale Interior - Items For Sale,-317.0,85.0,-420.0,Items For Sale,
Lobster Shores - Lobster Shores,-550.0,150.0,2640.0,Lobster Shores,
Lobster Shores - Lobster Shores,-550.0,153.0,2650.0,Lobster Shores,
Lobster Shores - Lobster Shores,-585.0,130.0,2950.0,Lobster Shores,
Lobster Shores - Lobster Shores,-575.0,153.0,2640.0,Lobster Shores,
Lobster Shores - Lobster Shores,-570.0,153.0,2640.0,Lobster Shores,
Lobster Shores - Lobster Shores,-565.0,153.0,2640.0,Lobster Shores,
Lobster Shores - Items For Sale,-550.0,153.0,2650.0,Items For Sale,
Lobster Shores - Items For Sale,-585.0,130.0,2950.0,Items For Sale,
Lobster Shores - Items For Sale,-575.0,153.0,2640.0,Items For Sale,
Lobster Shores - Items For Sale,-570.0,153.0,2640.0,Items For Sale,
Lobster Shores - Items For Sale,-565.0,153.0,2640.0,Items For Sale,
Lobster Shores - Items For Sale,-550.0,153.0,2650.0,Items For Sale,
Lobster Shores - Items For Sale,-585.0,130.0,2950.0,Items For Sale,
Lobster Shores - Items For Sale,-575.0,153.0,2640.0,Items For Sale,
Lobster Shores - Items For Sale,-570.0,153.0,2640.0,Items For Sale,
Lobster Shores - Items For Sale,-565.0,153.0,2640.0,Items For Sale,
Netter's Haven - Netter's Haven,-640.0,85.0,1030.0,Netter's Haven,
Netter's Haven - Netter's Haven,-775.0,90.0,950.0,Netter's Haven,
Netter's Haven - Netter's Haven,-635.0,85.0,1005.0,Netter's Haven,
Netter's Haven - Netter's Haven,-630.0,85.0,1005.0,Netter's Haven,
Netter's Haven - Netter's Haven,-610.0,85.0,1005.0,Netter's Haven,
Netter's Haven - Netter's Haven,-575.0,85.0,1000.0,Netter's Haven,
Netter's Haven - Lobster Altar,-775.0,90.0,950.0,Lobster Altar,
Netter's Haven - Items For Sale,-635.0,85.0,1005.0,Items For Sale,
Netter's Haven - Items For Sale,-630.0,85.0,1005.0,Items For Sale,
Netter's Haven - Items For Sale,-610.0,85.0,1005.0,Items For Sale,
Netter's Haven - Items For Sale,-575.0,85.0,1000.0,Items For Sale,
Netter's Haven - Items For Sale,-635.0,85.0,1005.0,Items For Sale,
Netter's Haven - Items For Sale,-630.0,85.0,1005.0,Items For Sale,
Netter's Haven - Items For Sale,-610.0,85.0,1005.0,Items For Sale,
Netter's Haven - Items For Sale,-575.0,85.0,1000.0,Items For Sale,
Oscar's Locker - The Cursed Shores,-235.0,85.0,1930.0,The Cursed Shores,
Oscar's Locker - The Cursed Shores,-185.0,-370.0,2280.0,The Cursed Shores,
Oscar's Locker - The Cursed Shores,-435.0,-40.0,1665.0,The Cursed Shores,
Oscar's Locker - The Cursed Shores,-493.0,137.0,2240.0,The Cursed Shores,
Oscar's Locker - The Cursed Shores,-210.0,-360.0,2383.0,The Cursed Shores,
Oscar's Locker - Oscar's Locker,-185.0,-370.0,2280.0,Oscar's Locker,
Oscar's Locker - Oscar's Locker,-435.0,-40.0,1665.0,Oscar's Locker,
Oscar's Locker - Items For Sale,-493.0,137.0,2240.0,Items For Sale,
Oscar's Locker - Items For Sale,-210.0,-360.0,2383.0,Items For Sale,
Oscar's Locker - Items For Sale,-493.0,137.0,2240.0,Items For Sale,
Oscar's Locker - Items For Sale,-210.0,-360.0,2383.0,Items For Sale,
Carrot Garden - Lushgrove,1133.0,105.0,-560.0,Lushgrove,
Carrot Garden - Lushgrove,1260.0,-625.0,-1070.0,Lushgrove,
Carrot Garden - Lushgrove,1310.0,130.0,-945.0,Lushgrove,
Carrot Garden - Lushgrove,1505.0,165.0,-665.0,Lushgrove,
Carrot Garden - Lushgrove,1410.0,155.0,-580.0,Lushgrove,
Carrot Garden - Lushgrove,1355.0,110.0,-615.0,Lushgrove,
Carrot Garden - Lushgrove,1020.0,130.0,-705.0,Lushgrove,
Carrot Garden - Lushgrove,1275.0,-625.0,-1060.0,Lushgrove,
Carrot Garden - Lushgrove,1300.0,155.0,-550.0,Lushgrove,
Carrot Garden - Carrot Garden,1260.0,-625.0,-1070.0,Carrot Garden,
Carrot Garden - Carrot Garden,1310.0,130.0,-945.0,Carrot Garden,
Carrot Garden - Carrot Garden,1505.0,165.0,-665.0,Carrot Garden,
Carrot Garden - Blue Moon Pool,1410.0,155.0,-580.0,Blue Moon Pool,
Carrot Garden - Blue Moon Pool,1355.0,110.0,-615.0,Blue Moon Pool,
Carrot Garden - Items For Sale,1020.0,130.0,-705.0,Items For Sale,
Carrot Garden - Items For Sale,1275.0,-625.0,-1060.0,Items For Sale,
Carrot Garden - Items For Sale,1300.0,155.0,-550.0,Items For Sale,
Carrot Garden - Items For Sale,1020.0,130.0,-705.0,Items For Sale,
Carrot Garden - Items For Sale,1275.0,-625.0,-1060.0,Items For Sale,
Carrot Garden - Items For Sale,1300.0,155.0,-550.0,Items For Sale,
Rebuff Altar - The Cursed Shores,-235.0,85.0,1930.0,The Cursed Shores,
Rebuff Altar - The Cursed Shores,-185.0,-370.0,2280.0,The Cursed Shores,
Rebuff Altar - The Cursed Shores,-435.0,-40.0,1665.0,The Cursed Shores,
Rebuff Altar - The Cursed Shores,-493.0,137.0,2240.0,The Cursed Shores,
Rebuff Altar - The Cursed Shores,-210.0,-360.0,2383.0,The Cursed Shores,
Rebuff Altar - Oscar's Locker,-185.0,-370.0,2280.0,Oscar's Locker,
Rebuff Altar - Oscar's Locker,-435.0,-40.0,1665.0,Oscar's Locker,
Rebuff Altar - Items For Sale,-493.0,137.0,2240.0,Items For Sale,
